4428.25,SPY GEX 438,#FFFF00,#000000
4438.25,SPY GEX 439,#FFFF00,#000000
4448.50,SPY GEX 440,#FFFF00,#000000
4458.50,SPY GEX 441,#FFFF00,#000000
4468.50,SPY GEX 442,#FFFF00,#000000
4478.75,SPY GEX 443,#FFFF00,#000000
4488.75,SPY GEX 444,#FFFF00,#000000
4499.00,SPY GEX 445,#FFFF00,#000000
4509.00,SPY GEX 446,#FFFF00,#000000
4519.25,SPY GEX 447,#FFFF00,#000000
4529.25,SPY GEX 448,#FFFF00,#000000
4539.50,SPY GEX 449,#FFFF00,#000000
4549.50,SPY GEX 450,#FFFF00,#000000
4559.50,SPY GEX 451,#FFFF00,#000000
4569.75,SPY GEX 452,#FFFF00,#000000
4579.75,SPY GEX 453,#FFFF00,#000000
4590.00,SPY GEX 454,#FFFF00,#000000
4600.00,SPY GEX 455,#FFFF00,#000000
4610.25,SPY GEX 456,#FFFF00,#000000
4620.25,SPY GEX 457,#FFFF00,#000000
4630.50,SPY GEX 458,#FFFF00,#000000
4460.5,SPY DP 438,#B9E6FF,#000000
4470.75,SPY DP 439,#B9E6FF,#000000
4481,SPY DP 440,#B9E6FF,#000000
4491,SPY DP 441,#B9E6FF,#000000
4501.25,SPY DP 442,#B9E6FF,#000000
4511.5,SPY DP 443,#B9E6FF,#000000
4521.75,SPY DP 444,#B9E6FF,#000000
4531.75,SPY DP 445,#B9E6FF,#000000
4542,SPY DP 446,#B9E6FF,#000000
4552.25,SPY DP 447,#B9E6FF,#000000
4562.5,SPY DP 448,#B9E6FF,#000000
4572.5,SPY DP 449,#B9E6FF,#000000
4582.75,SPY DP 450,#B9E6FF,#000000
4593,SPY DP 451,#B9E6FF,#000000
4603.25,SPY DP 452,#B9E6FF,#000000
4613.25,SPY DP 453,#B9E6FF,#000000
4623.5,SPY DP 454,#B9E6FF,#000000
4633.75,SPY DP 455,#B9E6FF,#000000
4643.75,SPY DP 456,#B9E6FF,#000000
4654,SPY DP 457,#B9E6FF,#000000
4664.25,SPY DP 458,#B9E6FF,#000000